short_name,club_name,player_name,club_involved_name,fee_cleaned,league_name,year,age,position,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Kenedy,Chelsea FC,Kenedy,Flamengo,0.45,Premier League,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. Batshuayi,Chelsea FC,Michy Batshuayi,Besiktas,0.135,Premier League,2021,28.0,Forward,722.0,292.0,430.0,Belgium,18.0,7.0,11.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,13.0,6.0,7.0,0.0,0.0,0.37,0.12,0.25,0.31,0.21,361.0,1.62,56.0,40.0,0.0,722.0,0.0,66.0,112.0,-1.0,6.0
M. Kean,Everton FC,Moise Kean,Juventus,6.3,Premier League,2021,21.0,Forward,13.0,12.0,1.0,Italy,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,24.0
Bernard,Everton FC,Bernard,Sharjah FC,0.9,Premier League,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. Ghezzal,Leicester City,Rachid Ghezzal,Besiktas,2.7,Premier League,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. Praet,Leicester City,Dennis Praet,Torino,0.9,Premier League,2021,27.0,Midfielder,723.0,298.0,425.0,Belgium,15.0,6.0,9.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,3.0,3.0,11.0,4.0,7.0,0.0,0.0,0.25,0.12,0.12,0.3,0.0,723.0,1.37,66.0,48.0,0.0,723.0,0.0,138.0,118.0,-1.0,13.0
H. Wilson,Liverpool FC,Harry Wilson,Fulham,12.6,Premier League,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. Awoniyi,Liverpool FC,Taiwo Awoniyi,Union Berlin,5.85,Premier League,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X. Shaqiri,Liverpool FC,Xherdan Shaqiri,Olympique Lyon,5.4,Premier League,2021,29.0,Midfielder,552.0,384.0,168.0,Switzerland,14.0,8.0,6.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,7.0,7.0,0.0,2.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,1.14,79.0,39.0,276.0,276.0,0.33,278.0,10.0,-1.0,25.0
M. Grujic,Liverpool FC,Marko Grujic,FC Porto,0.9,Premier League,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angeliño,Manchester City,Angeliño,RB Leipzig,16.2,Premier League,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Harrison,Manchester City,Jack Harrison,Leeds,11.52,Premier League,2021,24.0,Midfielder,2857.0,1399.0,1458.0,England,36.0,18.0,18.0,8.0,3.0,5.0,8.0,3.0,5.0,0.0,0.0,12.0,6.0,6.0,43.0,16.0,27.0,2.0,0.0,0.5,0.25,0.25,0.19,0.31,357.0,1.35,66.0,79.0,1429.0,357.0,0.06,65.0,29.0,-1.0,2.0
L. Nmecha,Manchester City,Lukas Nmecha,VfL Wolfsburg,7.2,Premier League,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. James,Manchester United,Daniel James,Leeds,26.19,Premier League,2021,23.0,Midfielder,913.0,423.0,490.0,Wales,15.0,8.0,7.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,3.0,4.0,7.0,4.0,3.0,3.0,0.0,0.39,0.1,0.3,0.64,0.0,304.0,0.69,130.0,61.0,304.0,913.0,0.3,52.0,136.0,-1.0,8.0
E. Buendía,Norwich City,Emiliano Buendía,Aston Villa,34.56,Premier League,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. Ings,Southampton FC,Danny Ings,Aston Villa,31.68,Premier League,2021,29.0,Forward,2183.0,1171.0,1012.0,England,29.0,15.0,14.0,12.0,7.0,5.0,4.0,4.0,0.0,2.0,0.0,7.0,5.0,2.0,39.0,17.0,22.0,1.0,0.0,0.66,0.16,0.49,0.54,0.44,182.0,1.61,56.0,75.0,2183.0,546.0,0.04,22.0,87.0,-1.0,1.0
J. Vestergaard,Southampton FC,Jannik Vestergaard,Leicester,15.84,Premier League,2021,29.0,Defender,2574.0,1180.0,1394.0,Denmark,30.0,14.0,16.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,40.0,13.0,27.0,4.0,1.0,0.1,0.0,0.1,0.0,0.19,858.0,1.4,64.0,86.0,515.0,0.0,0.17,154.0,347.0,103.0,6.0
A. Gunn,Southampton FC,Angus Gunn,Norwich,5.27,Premier League,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. Lemina,Southampton FC,Mario Lemina,OGC Nice,4.95,Premier League,2021,28.0,Midfielder,1704.0,872.0,832.0,Gabon,28.0,14.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,3.0,25.0,14.0,11.0,5.0,0.0,0.05,0.0,0.05,0.0,0.11,1704.0,1.32,68.0,61.0,341.0,0.0,0.26,226.0,373.0,-1.0,12.0
J. Foyth,Tottenham Hotspur,Juan Foyth,Villarreal,13.5,Premier League,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. Alderweireld,Tottenham Hotspur,Toby Alderweireld,Al-Duhail SC,11.7,Premier League,2021,32.0,Defender,2241.0,1341.0,900.0,Belgium,25.0,15.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,3.0,23.0,11.0,12.0,2.0,0.0,0.04,0.0,0.04,0.07,0.0,2241.0,0.92,97.0,90.0,1121.0,0.0,0.08,243.0,392.0,24.0,10.0
M. Sissoko,Tottenham Hotspur,Moussa Sissoko,Watford,3.15,Premier League,2021,32.0,Midfielder,1575.0,738.0,837.0,France,25.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,5.0,19.0,9.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,83.0,63.0,525.0,0.0,0.17,397.0,395.0,-1.0,16.0
J. Hart,Tottenham Hotspur,Joe Hart,Celtic,1.08,Premier League,2021,34.0,Goalkeeper,0.0,0.0,0.0,England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
W. Hughes,Watford FC,Will Hughes,Crystal Palace,6.3,Premier League,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N. Chalobah,Watford FC,Nathaniel Chalobah,Fulham,3.15,Premier League,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. Dawson,Watford FC,Craig Dawson,West Ham,2.07,Premier League,2021,31.0,Defender,1926.0,900.0,1026.0,England,22.0,10.0,12.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,3.0,20.0,10.0,10.0,5.0,1.0,0.14,0.0,0.14,0.2,0.09,642.0,0.93,96.0,88.0,385.0,0.0,0.23,124.0,259.0,27.0,6.0
B. Wilmot,Watford FC,Ben Wilmot,Stoke City,1.58,Premier League,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F. Anderson,West Ham United,Felipe Anderson,Lazio,2.7,Premier League,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. Mir,Wolverhampton Wanderers,Rafa Mir,Sevilla FC,14.4,Premier League,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. Patrício,Wolverhampton Wanderers,Rui Patrício,AS Roma,10.35,Premier League,2021,33.0,Goalkeeper,3330.0,1710.0,1620.0,Portugal,37.0,19.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,5.0,45.0,23.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,74.0,90.0,3330.0,0.0,0.03,415.0,410.0,79.0,19.0
O. Otasowie,Wolverhampton Wanderers,Owen Otasowie,Club Brugge,3.6,Premier League,2021,0.0,Midfielder,185.0,51.0,134.0,England,6.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,0.49,0.49,0.0,0.0,0.0,0.0,1.95,46.0,31.0,185.0,185.0,0.49,-1.0,-1.0,-1.0,16.0
E. Martínez,Arsenal FC,Emiliano Martínez,Aston Villa,15.66,Premier League,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
