short_name,club_name,player_name,club_involved_name,fee_cleaned,league_name,year,age,position,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
A. Lennon,Everton FC,Aaron Lennon,Burnley,1.53,Premier League,2017,33.0,Midfielder,509.0,302.0,207.0,England,11.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,4.0,2.0,2.0,0.0,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.71,127.0,46.0,0.0,509.0,0.0,330.0,70.0,-1.0,25.0
A. Lookman,Everton FC,Ademola Lookman,RB Leipzig,0.45,Premier League,2017,23.0,Forward,287.0,131.0,156.0,England,8.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.31,0.0,0.31,0.69,0.0,287.0,0.63,144.0,36.0,0.0,0.0,0.0,52.0,261.0,-1.0,13.0
V. Dijk,Southampton FC,Virgil van Dijk,Liverpool,76.19,Premier League,2017,29.0,Defender,1854.0,954.0,900.0,Netherlands,21.0,11.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,3.0,22.0,11.0,11.0,5.0,1.0,0.05,0.0,0.05,0.09,0.0,1854.0,1.07,84.0,88.0,371.0,0.0,0.24,216.0,356.0,48.0,13.0
A. Ayew,West Ham United,André Ayew,Swansea,20.52,Premier League,2017,31.0,Forward,1440.0,609.0,831.0,Ghana,25.0,11.0,14.0,6.0,1.0,5.0,3.0,2.0,1.0,0.0,0.0,6.0,5.0,1.0,23.0,11.0,12.0,1.0,0.0,0.56,0.19,0.38,0.15,0.54,240.0,1.44,63.0,58.0,1440.0,480.0,0.06,37.0,63.0,-1.0,5.0
D. Sakho,West Ham United,Diafra Sakho,Stade Rennais,9.0,Premier League,2017,31.0,Forward,181.0,28.0,153.0,Senegal,4.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,0.5,0.0,0.5,0.0,0.59,181.0,1.99,45.0,45.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,13.0
J. Fonte,West Ham United,José Fonte,DL Yifang,5.01,Premier League,2017,37.0,Defender,2935.0,1405.0,1530.0,Portugal,33.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,4.0,42.0,19.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,70.0,89.0,734.0,0.0,0.12,365.0,317.0,75.0,15.0
I. Slimani,Leicester City,Islam Slimani,Newcastle,1.98,Premier League,2017,32.0,Forward,1278.0,814.0,464.0,Algeria,23.0,14.0,9.0,7.0,6.0,1.0,4.0,4.0,0.0,1.0,0.0,6.0,6.0,0.0,21.0,8.0,13.0,1.0,0.0,0.77,0.28,0.49,0.66,0.19,183.0,1.48,61.0,56.0,1278.0,320.0,0.07,19.0,25.0,-1.0,2.0
M. Zárate,Watford FC,Mauro Zárate,Vélez Sarsfield,0.21600000000000003,Premier League,2017,34.0,Forward,206.0,132.0,74.0,Argentina,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,69.0,69.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,20.0
A. Mitrovic,Newcastle United,Aleksandar Mitrovic,Fulham,0.54,Premier League,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Lolley,Huddersfield Town,Joe Lolley,Nottm Forest,0.54,Premier League,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N. Kanté,Leicester City,N'Golo Kanté,Chelsea,32.22,Premier League,2016,29.0,Midfielder,3020.0,1376.0,1644.0,France,37.0,18.0,19.0,1.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,15.0,9.0,6.0,27.0,11.0,16.0,3.0,0.0,0.15,0.12,0.03,0.07,0.0,3020.0,0.8,112.0,82.0,1007.0,755.0,0.09,242.0,124.0,-1.0,10.0
A. Kramaric,Leicester City,Andrej Kramaric,TSG Hoffenheim,9.9,Premier League,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. Laet,Leicester City,Ritchie De Laet,Aston Villa,2.07,Premier League,2016,32.0,Defender,655.0,371.0,284.0,Belgium,12.0,7.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,15.0,9.0,6.0,1.0,0.0,0.14,0.0,0.14,0.24,0.0,655.0,2.06,44.0,55.0,655.0,0.0,0.14,135.0,347.0,174.0,13.0
L. Moore,Leicester City,Liam Moore,Reading,1.04,Premier League,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Gnabry,Arsenal FC,Serge Gnabry,Werder Bremen,4.5,Premier League,2016,25.0,Forward,12.0,12.0,0.0,Germany,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,21.0
W. Silva,Arsenal FC,Wellington Silva,Fluminense,2.7,Premier League,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Wilshere,Arsenal FC,Jack Wilshere,Bournemouth,2.12,Premier League,2016,29.0,Midfielder,141.0,69.0,72.0,England,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,141.0,47.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,25.0
R. Mason,Tottenham Hotspur,Ryan Mason,Hull City,13.86,Premier League,2016,29.0,Midfielder,798.0,389.0,409.0,England,22.0,11.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,3.0,10.0,5.0,5.0,3.0,0.0,0.11,0.0,0.11,0.0,0.22,798.0,1.13,80.0,36.0,266.0,0.0,0.34,157.0,317.0,-1.0,10.0
N. Chadli,Tottenham Hotspur,Nacer Chadli,West Brom,13.68,Premier League,2016,31.0,Midfielder,933.0,390.0,543.0,Belgium,29.0,13.0,16.0,3.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,12.0,7.0,5.0,10.0,2.0,8.0,1.0,0.0,0.48,0.19,0.29,0.46,0.17,311.0,0.96,93.0,32.0,933.0,467.0,0.1,65.0,69.0,-1.0,8.0
A. Pritchard,Tottenham Hotspur,Alex Pritchard,Norwich,8.46,Premier League,2016,27.0,Midfielder,66.0,22.0,44.0,England,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,13.0
D. Yedlin,Tottenham Hotspur,DeAndre Yedlin,Newcastle,5.31,Premier League,2016,27.0,Defender,1812.0,1027.0,785.0,USA,23.0,13.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,5.0,1.0,23.0,10.0,13.0,2.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,1.14,79.0,79.0,906.0,1812.0,0.1,291.0,211.0,66.0,18.0
F. Fazio,Tottenham Hotspur,Federico Fazio,AS Roma,1.08,Premier League,2016,34.0,Defender,0.0,0.0,0.0,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
E. Dzeko,Manchester City,Edin Dzeko,AS Roma,9.9,Premier League,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W. Bony,Manchester City,Wilfried Bony,Stoke City,2.12,Premier League,2016,32.0,Forward,1222.0,630.0,592.0,Côte d'Ivoire,26.0,13.0,13.0,4.0,4.0,0.0,3.0,2.0,1.0,0.0,1.0,10.0,3.0,7.0,11.0,4.0,7.0,1.0,0.0,0.52,0.22,0.29,0.57,0.0,306.0,0.81,111.0,47.0,1222.0,407.0,0.07,63.0,42.0,-1.0,6.0
F. Lejeune,Manchester City,Florian Lejeune,SD Eibar,1.35,Premier League,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. McNair,Manchester United,Paddy McNair,Sunderland,4.73,Premier League,2016,25.0,Midfielder,311.0,89.0,222.0,Northern Ireland,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,52.0,39.0,0.0,0.0,0.0,348.0,294.0,-1.0,26.0
T. Blackett,Manchester United,Tyler Blackett,Reading,1.62,Premier League,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W. Keane,Manchester United,Will Keane,Hull City,1.08,Premier League,2016,28.0,Forward,4.0,0.0,4.0,England,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,18.0
S. Mané,Southampton FC,Sadio Mané,Liverpool,37.08,Premier League,2016,28.0,Forward,2606.0,1405.0,1201.0,Senegal,37.0,19.0,18.0,11.0,7.0,4.0,6.0,4.0,2.0,0.0,1.0,11.0,6.0,5.0,31.0,16.0,15.0,7.0,2.0,0.59,0.21,0.38,0.45,0.3,237.0,1.07,84.0,70.0,326.0,434.0,0.28,26.0,53.0,-1.0,1.0
G. Pellè,Southampton FC,Graziano Pellè,SD Luneng,13.73,Premier League,2016,35.0,Forward,2172.0,1226.0,946.0,Italy,30.0,16.0,14.0,11.0,7.0,4.0,6.0,4.0,2.0,0.0,0.0,9.0,4.0,5.0,26.0,19.0,7.0,6.0,0.0,0.7,0.25,0.46,0.51,0.38,197.0,1.08,84.0,72.0,362.0,362.0,0.25,20.0,33.0,-1.0,2.0
V. Wanyama,Southampton FC,Victor Wanyama,Spurs,12.96,Premier League,2016,29.0,Midfielder,2500.0,1229.0,1271.0,Kenya,30.0,15.0,15.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,4.0,4.0,30.0,16.0,14.0,9.0,3.0,0.07,0.04,0.04,0.07,0.0,2500.0,1.08,83.0,83.0,250.0,2500.0,0.36,238.0,224.0,-1.0,14.0
Juanmi,Southampton FC,Juanmi,Real Sociedad,4.5,Premier League,2016,27.0,Forward,161.0,105.0,56.0,Spain,12.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,54.0,13.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,17.0
J. Tomkins,West Ham United,James Tomkins,Crystal Palace,10.53,Premier League,2016,31.0,Defender,1965.0,826.0,1139.0,England,25.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,24.0,9.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,82.0,79.0,491.0,0.0,0.18,375.0,364.0,55.0,22.0
C. Benteke,Liverpool FC,Christian Benteke,Crystal Palace,28.08,Premier League,2016,30.0,Forward,1517.0,732.0,785.0,Belgium,29.0,13.0,16.0,9.0,4.0,5.0,3.0,2.0,1.0,1.0,0.0,9.0,5.0,4.0,18.0,7.0,11.0,2.0,0.0,0.71,0.18,0.53,0.49,0.57,169.0,1.07,84.0,52.0,759.0,506.0,0.12,12.0,78.0,-1.0,2.0
J. Ibe,Liverpool FC,Jordon Ibe,Bournemouth,16.2,Premier League,2016,25.0,Midfielder,1172.0,534.0,638.0,England,27.0,13.0,14.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,9.0,5.0,4.0,23.0,10.0,13.0,0.0,0.0,0.23,0.15,0.08,0.0,0.14,1172.0,1.77,51.0,43.0,0.0,586.0,0.0,186.0,90.0,-1.0,15.0
J. Allen,Liverpool FC,Joe Allen,Stoke City,13.95,Premier League,2016,31.0,Midfielder,729.0,355.0,374.0,Wales,19.0,11.0,8.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,1.0,8.0,3.0,5.0,0.0,0.0,0.37,0.12,0.25,0.51,0.0,365.0,0.99,91.0,38.0,0.0,729.0,0.0,79.0,120.0,-1.0,9.0
M. Skrtel,Liverpool FC,Martin Skrtel,Fenerbahce,5.4,Premier League,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L. Alberto,Liverpool FC,Luis Alberto,Lazio,3.6,Premier League,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Smith,Liverpool FC,Brad Smith,Bournemouth,3.24,Premier League,2016,26.0,Defender,285.0,0.0,285.0,Australia,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,71.0,71.0,95.0,0.0,0.95,303.0,326.0,91.0,23.0
L. Vigouroux,Liverpool FC,Lawrence Vigouroux,Swindon Town,0.43200000000000005,Premier League,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. Wilson,Stoke City,Marc Wilson,Bournemouth,2.07,Premier League,2016,33.0,Defender,258.0,198.0,60.0,Republic of Ireland,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,37.0,65.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,14.0
P. Wollscheid,Stoke City,Philipp Wollscheid,VfL Wolfsburg,1.35,Premier League,2016,32.0,Defender,2684.0,1394.0,1290.0,Germany,31.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,5.0,42.0,20.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,64.0,87.0,1342.0,0.0,0.07,385.0,382.0,120.0,21.0
M. Salah,Chelsea FC,Mohamed Salah,AS Roma,13.5,Premier League,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. Djilobodji,Chelsea FC,Papy Djilobodji,Sunderland,8.55,Premier League,2016,32.0,Defender,0.0,0.0,0.0,Senegal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
J. Cuadrado,Chelsea FC,Juan Cuadrado,Juventus,4.5,Premier League,2016,32.0,Midfielder,26.0,0.0,26.0,Colombia,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.92,13.0,26.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,25.0
S. Perica,Chelsea FC,Stipe Perica,Udinese Calcio,4.05,Premier League,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. Marin,Chelsea FC,Marko Marin,Olympiacos,2.7,Premier League,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Traoré,Chelsea FC,Bertrand Traoré,Ajax,1.8,Premier League,2016,25.0,Forward,373.0,206.0,167.0,Burkina Faso,10.0,6.0,4.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.72,0.24,0.48,0.87,0.0,187.0,0.24,373.0,37.0,0.0,373.0,0.0,18.0,38.0,-1.0,12.0
M. Pasalic,Chelsea FC,Mario Pasalic,AC Milan,0.9,Premier League,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L. Rémy,Chelsea FC,Loïc Rémy,Crystal Palace,0.9,Premier League,2016,34.0,Forward,284.0,140.0,144.0,France,13.0,8.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,5.0,3.0,2.0,0.0,0.0,0.32,0.0,0.32,0.0,0.63,284.0,1.58,57.0,22.0,0.0,0.0,0.0,50.0,291.0,-1.0,13.0
A. Baba,Chelsea FC,Abdul Rahman Baba,FC Schalke 04,0.45,Premier League,2016,26.0,Defender,1017.0,495.0,522.0,Ghana,15.0,6.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,11.0,6.0,5.0,1.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.97,92.0,68.0,1017.0,1017.0,0.09,298.0,156.0,42.0,24.0
C. Atsu,Chelsea FC,Christian Atsu,Newcastle,0.45,Premier League,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Stones,Everton FC,John Stones,Man City,50.04,Premier League,2016,26.0,Defender,2779.0,1350.0,1429.0,England,33.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,6.0,42.0,22.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,66.0,84.0,926.0,0.0,0.1,331.0,338.0,112.0,29.0
A. Ayew,Swansea City,André Ayew,West Ham,21.69,Premier League,2016,31.0,Forward,2940.0,1543.0,1397.0,Ghana,34.0,18.0,16.0,12.0,8.0,4.0,2.0,1.0,1.0,0.0,0.0,7.0,7.0,0.0,43.0,20.0,23.0,5.0,0.0,0.43,0.06,0.37,0.47,0.26,245.0,1.32,68.0,86.0,588.0,1470.0,0.15,30.0,200.0,-1.0,1.0
A. Williams,Swansea City,Ashley Williams,Everton,12.6,Premier League,2016,36.0,Defender,3240.0,1620.0,1620.0,Wales,36.0,18.0,18.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,9.0,8.0,1.0,48.0,19.0,29.0,8.0,0.0,0.08,0.03,0.06,0.06,0.06,1620.0,1.33,68.0,90.0,405.0,3240.0,0.22,213.0,229.0,109.0,4.0
A. Paloschi,Swansea City,Alberto Paloschi,Atalanta,6.03,Premier League,2016,31.0,Forward,669.0,299.0,370.0,Italy,10.0,4.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,11.0,2.0,9.0,2.0,0.0,0.27,0.0,0.27,0.0,0.49,335.0,1.48,61.0,67.0,335.0,0.0,0.27,75.0,305.0,-1.0,6.0
Éder,Swansea City,Éder,LOSC Lille,4.05,Premier League,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. Vydra,Watford FC,Matej Vydra,Derby,8.46,Premier League,2016,28.0,Forward,0.0,0.0,0.0,Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
M. Layún,Watford FC,Miguel Layún,FC Porto,5.4,Premier League,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Anya,Watford FC,Ikechi Anya,Derby,4.23,Premier League,2016,33.0,Midfielder,1680.0,889.0,791.0,Scotland,28.0,13.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,6.0,2.0,24.0,9.0,15.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,1.29,70.0,60.0,0.0,1680.0,0.0,403.0,203.0,-1.0,20.0
A. Nyom,Watford FC,Allan Nyom,West Brom,4.23,Premier League,2016,32.0,Defender,2475.0,1060.0,1415.0,Cameroon,32.0,15.0,17.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,7.0,3.0,33.0,10.0,23.0,8.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,1.2,75.0,77.0,309.0,2475.0,0.29,339.0,220.0,80.0,24.0
A. Abdi,Watford FC,Almen Abdi,Sheff Wed,3.24,Premier League,2016,34.0,Midfielder,1987.0,862.0,1125.0,Switzerland,32.0,16.0,16.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,2.0,32.0,11.0,21.0,4.0,0.0,0.09,0.0,0.09,0.1,0.08,994.0,1.45,62.0,62.0,497.0,0.0,0.18,181.0,396.0,-1.0,3.0
J. Jurado,Watford FC,José Manuel Jurado,Espanyol,1.08,Premier League,2016,34.0,Midfielder,2027.0,1107.0,920.0,Spain,27.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,2.0,27.0,11.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,75.0,75.0,676.0,0.0,0.13,342.0,427.0,-1.0,22.0
J. Chester,West Bromwich Albion,James Chester,Aston Villa,8.37,Premier League,2016,32.0,Defender,962.0,400.0,562.0,Wales,13.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,18.0,9.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,53.0,74.0,192.0,0.0,0.47,391.0,356.0,154.0,22.0
R. Lambert,West Bromwich Albion,Rickie Lambert,Cardiff,1.8,Premier League,2016,39.0,Forward,614.0,322.0,292.0,England,19.0,11.0,8.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0,3.0,4.0,7.0,6.0,1.0,2.0,0.0,0.29,0.15,0.15,0.28,0.0,614.0,1.03,88.0,32.0,307.0,614.0,0.29,123.0,95.0,-1.0,10.0
C. Gamboa,West Bromwich Albion,Cristian Gamboa,Celtic,1.08,Premier League,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y. Bolasie,Crystal Palace,Yannick Bolasie,Everton,26.01,Premier League,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. Gayle,Crystal Palace,Dwight Gayle,Newcastle,10.8,Premier League,2016,30.0,Forward,769.0,510.0,259.0,England,16.0,10.0,6.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,8.0,3.0,5.0,3.0,1.0,0.35,0.0,0.35,0.35,0.35,256.0,0.94,96.0,48.0,256.0,0.0,0.35,38.0,359.0,-1.0,5.0
A. McCarthy,Crystal Palace,Alex McCarthy,Southampton,4.23,Premier League,2016,31.0,Goalkeeper,630.0,360.0,270.0,England,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90.0,90.0,0.0,0.0,0.0,327.0,428.0,46.0,20.0
M. Jedinak,Crystal Palace,Mile Jedinak,Aston Villa,4.14,Premier League,2016,36.0,Midfielder,1531.0,786.0,745.0,Australia,27.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,24.0,11.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,64.0,57.0,255.0,0.0,0.35,315.0,410.0,-1.0,25.0
M. Ritchie,AFC Bournemouth,Matt Ritchie,Newcastle,10.8,Premier League,2016,31.0,Midfielder,2978.0,1345.0,1633.0,Scotland,37.0,18.0,19.0,4.0,4.0,0.0,6.0,4.0,2.0,0.0,0.0,6.0,3.0,3.0,55.0,23.0,32.0,5.0,0.0,0.3,0.18,0.12,0.27,0.0,745.0,1.66,54.0,80.0,596.0,496.0,0.15,144.0,77.0,-1.0,3.0
T. Elphick,AFC Bournemouth,Tommy Elphick,Aston Villa,3.51,Premier League,2016,33.0,Defender,1012.0,472.0,540.0,England,12.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.0,13.0,1.0,0.0,0.09,0.0,0.09,0.19,0.0,1012.0,1.87,48.0,84.0,1012.0,0.0,0.09,177.0,260.0,166.0,14.0
L. Tomlin,AFC Bournemouth,Lee Tomlin,Bristol City,3.15,Premier League,2016,32.0,Forward,289.0,172.0,117.0,England,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,145.0,48.0,289.0,0.0,0.31,294.0,403.0,-1.0,22.0
E. O'Kane,AFC Bournemouth,Eunan O'Kane,Leeds,0.45,Premier League,2016,30.0,Midfielder,749.0,362.0,387.0,Republic of Ireland,16.0,10.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,19.0,6.0,13.0,2.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,2.28,39.0,47.0,375.0,749.0,0.24,343.0,118.0,-1.0,25.0
S. MacDonald,AFC Bournemouth,Shaun MacDonald,Wigan,0.261,Premier League,2016,32.0,Midfielder,28.0,0.0,28.0,Wales,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,28.0,9.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,19.0
Y. Kaboul,Sunderland AFC,Younès Kaboul,Watford,3.6,Premier League,2016,35.0,Defender,2009.0,962.0,1047.0,France,23.0,11.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,5.0,2.0,27.0,10.0,17.0,5.0,1.0,0.04,0.04,0.0,0.0,0.0,0.0,1.21,74.0,87.0,402.0,2009.0,0.22,322.0,219.0,82.0,19.0
E. Giaccherini,Sunderland AFC,Emanuele Giaccherini,SSC Napoli,1.35,Premier League,2016,35.0,Midfielder,0.0,0.0,0.0,Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
