club_name,player_name,club_involved_name,fee_cleaned,league_name,year,short_name
Manchester City,Nicolás Otamendi,Benfica,13.5,Premier League,2020,N. Otamendi
Manchester City,Tosin Adarabioyo,Fulham,1.49,Premier League,2020,T. Adarabioyo
Manchester United,Chris Smalling,AS Roma,13.5,Premier League,2020,C. Smalling
Newcastle United,Dan Barlaser,Rotherham,0.248,Premier League,2020,D. Barlaser
Southampton FC,Pierre-Emile Höjbjerg,Spurs,14.94,Premier League,2020,P. Höjbjerg
Southampton FC,Harrison Reed,Fulham,5.85,Premier League,2020,H. Reed
Southampton FC,Mario Lemina,Fulham,1.98,Premier League,2020,M. Lemina
Southampton FC,Wesley Hoedt,Lazio,0.9,Premier League,2020,W. Hoedt
Tottenham Hotspur,Kyle Walker-Peters,Southampton,11.97,Premier League,2020,K. Walker-Peters
West Bromwich Albion,Oliver Burke,Sheff Utd,5.85,Premier League,2020,O. Burke
West Bromwich Albion,Jonathan Leko,Birmingham,0.99,Premier League,2020,J. Leko
West Ham United,Grady Diangana,West Brom,12.15,Premier League,2020,G. Diangana
West Ham United,Albian Ajeti,Celtic,4.95,Premier League,2020,A. Ajeti
West Ham United,Jordan Hugill,Norwich,2.97,Premier League,2020,J. Hugill
West Ham United,Josh Cullen,RSC Anderlecht,0.45,Premier League,2020,J. Cullen
Wolverhampton Wanderers,Diogo Jota,Liverpool,40.23,Premier League,2020,D. Jota
Wolverhampton Wanderers,Hélder Costa,Leeds,15.93,Premier League,2020,H. Costa
Wolverhampton Wanderers,Matt Doherty,Spurs,15.12,Premier League,2020,M. Doherty
Leicester City,Demarai Gray,Bay. Leverkusen,1.8,Premier League,2020,D. Gray
Manchester United,Timothy Fosu-Mensah,Bay. Leverkusen,1.53,Premier League,2020,T. Fosu-Mensah
Manchester United,Jesse Lingard,West Ham,1.53,Premier League,2020,J. Lingard
West Ham United,Sébastien Haller,Ajax,20.25,Premier League,2020,S. Haller
West Ham United,Robert Snodgrass,West Brom,0.099,Premier League,2020,R. Snodgrass
Manchester City,Danilo,Juventus,33.3,Premier League,2019,Danilo
Manchester City,Douglas Luiz,Aston Villa,15.12,Premier League,2019,D. Luiz
Manchester City,Fabian Delph,Everton,8.55,Premier League,2019,F. Delph
Manchester City,Manu García,Sporting Gijón,3.6,Premier League,2019,M. García
Manchester City,Pablo Marí,Flamengo,1.53,Premier League,2019,P. Marí
Liverpool FC,Danny Ings,Southampton,19.98,Premier League,2019,D. Ings
Liverpool FC,Ryan Kent,Rangers,6.48,Premier League,2019,R. Kent
Liverpool FC,Simon Mignolet,Club Brugge,6.3,Premier League,2019,S. Mignolet
Liverpool FC,Harry Wilson,Bournemouth,2.43,Premier League,2019,H. Wilson
Liverpool FC,Marko Grujic,Hertha BSC,1.8,Premier League,2019,M. Grujic
Liverpool FC,Taiwo Awoniyi,1.FSV Mainz 05,0.45,Premier League,2019,T. Awoniyi
Chelsea FC,Eden Hazard,Real Madrid,103.5,Premier League,2019,E. Hazard
Chelsea FC,Ola Aina,Torino,8.82,Premier League,2019,O. Aina
Chelsea FC,Tomas Kalas,Bristol City,8.1,Premier League,2019,T. Kalas
Chelsea FC,David Luiz,Arsenal,7.83,Premier League,2019,D. Luiz
Chelsea FC,Kenneth Omeruo,CD Leganés,4.5,Premier League,2019,K. Omeruo
Chelsea FC,Tiemoué Bakayoko,Monaco,2.7,Premier League,2019,T. Bakayoko
Chelsea FC,Ethan Ampadu,RB Leipzig,0.585,Premier League,2019,E. Ampadu
Tottenham Hotspur,Kieran Trippier,Atlético Madrid,19.8,Premier League,2019,K. Trippier
Tottenham Hotspur,Vincent Janssen,Monterrey,8.1,Premier League,2019,V. Janssen
Tottenham Hotspur,Georges-Kevin N'Koudou,Besiktas,4.05,Premier League,2019,G. N'Koudou
Arsenal FC,Alex Iwobi,Everton,27.36,Premier League,2019,A. Iwobi
Arsenal FC,Krystian Bielik,Derby,7.38,Premier League,2019,K. Bielik
Arsenal FC,Laurent Koscielny,G. Bordeaux,4.5,Premier League,2019,L. Koscielny
Arsenal FC,David Ospina,SSC Napoli,3.15,Premier League,2019,D. Ospina
Arsenal FC,Henrikh Mkhitaryan,AS Roma,2.79,Premier League,2019,H. Mkhitaryan
Arsenal FC,Carl Jenkinson,Nottm Forest,1.98,Premier League,2019,C. Jenkinson
Arsenal FC,Takuma Asano,Partizan,0.9,Premier League,2019,T. Asano
Arsenal FC,Nacho Monreal,Real Sociedad,0.225,Premier League,2019,N. Monreal
Manchester United,Romelu Lukaku,Inter,66.6,Premier League,2019,R. Lukaku
Manchester United,Chris Smalling,AS Roma,2.7,Premier League,2019,C. Smalling
Manchester United,Matteo Darmian,Parma,2.23,Premier League,2019,M. Darmian
Wolverhampton Wanderers,Ivan Cavaleiro,Fulham,5.31,Premier League,2019,I. Cavaleiro
Wolverhampton Wanderers,Kortney Hause,Aston Villa,3.06,Premier League,2019,K. Hause
Everton FC,Idrissa Gueye,Paris SG,27.0,Premier League,2019,I. Gueye
Everton FC,Ademola Lookman,RB Leipzig,16.2,Premier League,2019,A. Lookman
Everton FC,Nikola Vlasic,CSKA Moscow,14.13,Premier League,2019,N. Vlasic
Everton FC,Henry Onyekuru,Monaco,12.15,Premier League,2019,H. Onyekuru
Everton FC,James McCarthy,Crystal Palace,2.97,Premier League,2019,J. McCarthy
Leicester City,Harry Maguire,Man Utd,78.3,Premier League,2019,H. Maguire
Leicester City,Callum Elder,Hull City,1.35,Premier League,2019,C. Elder
West Ham United,Marko Arnautovic,SH SIPG,22.5,Premier League,2019,M. Arnautovic
West Ham United,Chicharito,Sevilla FC,6.98,Premier League,2019,Chicharito
West Ham United,Edimilson Fernandes,1.FSV Mainz 05,6.75,Premier League,2019,E. Fernandes
West Ham United,Pedro Obiang,Sassuolo,6.3,Premier League,2019,P. Obiang
West Ham United,Sead Haksabanovic,Norrköping,2.34,Premier League,2019,S. Haksabanovic
West Ham United,Lucas Pérez,Alavés,2.07,Premier League,2019,L. Pérez
West Ham United,Reece Oxford,FC Augsburg,1.8,Premier League,2019,R. Oxford
West Ham United,Sam Byram,Norwich,0.747,Premier League,2019,S. Byram
Watford FC,Dodi Lukebakio,Hertha BSC,18.0,Premier League,2019,D. Lukebakio
Watford FC,Obbi Oulare,Standard Liège,3.06,Premier League,2019,O. Oulare
Crystal Palace,Aaron Wan-Bissaka,Man Utd,49.5,Premier League,2019,A. Wan-Bissaka
Crystal Palace,Alexander Sörloth,Trabzonspor,0.338,Premier League,2019,A. Sörloth
Newcastle United,Ayoze Pérez,Leicester,30.06,Premier League,2019,A. Pérez
Newcastle United,Joselu,Alavés,2.02,Premier League,2019,Joselu
AFC Bournemouth,Tyrone Mings,Aston Villa,20.07,Premier League,2019,T. Mings
AFC Bournemouth,Lys Mousset,Sheffield Utd.,9.99,Premier League,2019,L. Mousset
AFC Bournemouth,Connor Mahoney,Millwall,0.99,Premier League,2019,C. Mahoney
Burnley FC,Tom Heaton,Aston Villa,7.92,Premier League,2019,T. Heaton
Southampton FC,Matt Targett,Aston Villa,13.95,Premier League,2019,M. Targett
Southampton FC,Sam Gallagher,Blackburn,5.85,Premier League,2019,S. Gallagher
Southampton FC,Charlie Austin,West Brom,3.87,Premier League,2019,C. Austin
Southampton FC,Mario Lemina,Galatasaray,0.9,Premier League,2019,M. Lemina
Brighton & Hove Albion,Anthony Knockaert,Fulham,4.05,Premier League,2019,A. Knockaert
Brighton & Hove Albion,Ales Mateju,Brescia,1.62,Premier League,2019,A. Mateju
Brighton & Hove Albion,Florin Andone,Galatasaray,0.63,Premier League,2019,F. Andone
Norwich City,Nélson Oliveira,AEK Athens,0.9,Premier League,2019,N. Oliveira
Norwich City,Marcel Franke,Hannover 96,0.9,Premier League,2019,M. Franke
Sheffield United,Ched Evans,Fleetwood,0.135,Premier League,2019,C. Evans
Aston Villa,Aaron Tshibola,Waasl.-Beveren,0.9,Premier League,2019,A. Tshibola
Chelsea FC,Michael Hector,Fulham,5.31,Premier League,2019,M. Hector
Chelsea FC,Victor Moses,Inter,0.194,Premier League,2019,V. Moses
Tottenham Hotspur,Christian Eriksen,Inter,24.3,Premier League,2019,C. Eriksen
Tottenham Hotspur,Danny Rose,Newcastle,1.8,Premier League,2019,D. Rose
Manchester United,Ashley Young,Inter,1.53,Premier League,2019,A. Young
Wolverhampton Wanderers,Ivan Cavaleiro,Fulham,10.62,Premier League,2019,I. Cavaleiro
Wolverhampton Wanderers,Patrick Cutrone,Fiorentina,2.7,Premier League,2019,P. Cutrone
Watford FC,Marvin Zeegelaar,Udinese Calcio,1.8,Premier League,2019,M. Zeegelaar
Burnley FC,Nahki Wells,Bristol City,4.28,Premier League,2019,N. Wells
Brighton & Hove Albion,Gaëtan Bong,Nottm Forest,0.45,Premier League,2019,G. Bong
Norwich City,Dennis Srbeny,SC Paderborn,0.18,Premier League,2019,D. Srbeny
Sheffield United,Richard Stearman,Huddersfield,0.18,Premier League,2019,R. Stearman
Aston Villa,Jonathan Kodjia,Al-Gharafa SC,2.7,Premier League,2019,J. Kodjia
Manchester City,Angus Gunn,Southampton,10.17,Premier League,2018,A. Gunn
Manchester City,Jason Denayer,Olympique Lyon,9.0,Premier League,2018,J. Denayer
Manchester City,Pablo Maffeo,VfB Stuttgart,8.1,Premier League,2018,P. Maffeo
Manchester City,Joe Hart,Burnley,3.51,Premier League,2018,J. Hart
Manchester City,Bersant Celina,Swansea,3.06,Premier League,2018,B. Celina
Manchester City,Olarenwaju Kayode,Shakhtar D.,2.7,Premier League,2018,O. Kayode
Manchester United,Daley Blind,Ajax,14.4,Premier League,2018,D. Blind
Manchester United,Sam Johnstone,West Brom,6.62,Premier League,2018,S. Johnstone
Liverpool FC,Danny Ward,Leicester,12.6,Premier League,2018,D. Ward
Liverpool FC,Loris Karius,Besiktas,2.25,Premier League,2018,L. Karius
Liverpool FC,Ragnar Klavan,Cagliari Calcio,1.37,Premier League,2018,R. Klavan
Liverpool FC,Harry Wilson,Derby,0.99,Premier League,2018,H. Wilson
Liverpool FC,Marko Grujic,Hertha BSC,0.9,Premier League,2018,M. Grujic
Chelsea FC,Thibaut Courtois,Real Madrid,31.5,Premier League,2018,T. Courtois
Chelsea FC,Kurt Zouma,Everton,7.11,Premier League,2018,K. Zouma
Chelsea FC,Tiemoué Bakayoko,AC Milan,4.5,Premier League,2018,T. Bakayoko
Chelsea FC,Michy Batshuayi,Valencia,2.7,Premier League,2018,M. Batshuayi
Chelsea FC,Mario Pasalic,Atalanta,2.25,Premier League,2018,M. Pasalic
Chelsea FC,Kenneth Omeruo,CD Leganés,0.72,Premier League,2018,K. Omeruo
Chelsea FC,Ola Aina,Torino,0.54,Premier League,2018,O. Aina
Chelsea FC,Matt Miazga,FC Nantes,0.27,Premier League,2018,M. Miazga
Arsenal FC,Lucas Pérez,West Ham,3.96,Premier League,2018,L. Pérez
Arsenal FC,Joel Campbell,Frosinone,1.35,Premier League,2018,J. Campbell
Arsenal FC,Takuma Asano,Hannover 96,0.9,Premier League,2018,T. Asano
Arsenal FC,Chuba Akpom,PAOK Salonika,0.9,Premier League,2018,C. Akpom
Everton FC,Davy Klaassen,Werder Bremen,12.15,Premier League,2018,D. Klaassen
Everton FC,Ramiro Funes Mori,Villarreal,8.1,Premier League,2018,R. Mori
Everton FC,Henry Onyekuru,Galatasaray,0.72,Premier League,2018,H. Onyekuru
Everton FC,Kevin Mirallas,Fiorentina,0.675,Premier League,2018,K. Mirallas
Leicester City,Riyad Mahrez,Man City,61.02,Premier League,2018,R. Mahrez
Leicester City,Ahmed Musa,Al-Nassr,14.85,Premier League,2018,A. Musa
Leicester City,Islam Slimani,Fenerbahce,1.35,Premier League,2018,I. Slimani
Newcastle United,Aleksandar Mitrovic,Fulham,22.23,Premier League,2018,A. Mitrovic
Newcastle United,Mikel Merino,Real Sociedad,10.8,Premier League,2018,M. Merino
Newcastle United,Chancel Mbemba,FC Porto,4.19,Premier League,2018,C. Mbemba
