club_name,player_name,club_involved_name,fee_cleaned,league_name,year,short_name
Stade Rennais FC,Chris Mavinga,Rubin Kazan,4.5,Ligue 1,2013,C. Mavinga
Stade Rennais FC,Mevlüt Erdinc,Saint-Étienne,4.05,Ligue 1,2013,M. Erdinc
Stade Rennais FC,Yacine Brahimi,Granada CF,2.25,Ligue 1,2013,Y. Brahimi
Stade Rennais FC,Kévin Théophile-Catherine,Cardiff,2.25,Ligue 1,2013,K. Théophile-Catherine
Stade Rennais FC,Yassine Jebbour,Montpellier,0.9,Ligue 1,2013,Y. Jebbour
Stade Rennais FC,Víctor Montaño,Montpellier,0.72,Ligue 1,2013,V. Montaño
Stade Rennais FC,John Verhoek,FC St. Pauli,0.27,Ligue 1,2013,J. Verhoek
FC Sochaux-Montbéliard,Sloan Privat,KAA Gent,1.35,Ligue 1,2013,S. Privat
FC Sochaux-Montbéliard,Ryad Boudebouz,SC Bastia,0.9,Ligue 1,2013,R. Boudebouz
FC Évian Thonon Gaillard,Mohammed Rabiu,Kuban Krasnodar,2.7,Ligue 1,2013,M. Rabiu
FC Évian Thonon Gaillard,Saber Khalifa,Marseille,2.25,Ligue 1,2013,S. Khalifa
FC Évian Thonon Gaillard,Yannick Sagbo,Hull City,1.62,Ligue 1,2013,Y. Sagbo
FC Évian Thonon Gaillard,Iheb Mbarki,Esperance,0.45,Ligue 1,2013,I. Mbarki
AS Monaco,Ibrahima Touré,Al-Nasr,3.38,Ligue 1,2013,I. Touré
AS Monaco,Delvin N'Dinga,Olympiacos,0.9,Ligue 1,2013,D. N'Dinga
EA Guingamp,Giannelli Imbula,Marseille,6.75,Ligue 1,2013,G. Imbula
Olympique Marseille,Kassim Abdallah,Évian,0.27,Ligue 1,2013,K. Abdallah
AS Saint-Étienne,Kurt Zouma,Chelsea,13.14,Ligue 1,2013,K. Zouma
AS Saint-Étienne,Faouzi Ghoulam,SSC Napoli,4.5,Ligue 1,2013,F. Ghoulam
FC Girondins Bordeaux,Ludovic Obraniak,Werder Bremen,1.35,Ligue 1,2013,L. Obraniak
FC Évian Thonon Gaillard,Brice Dja Djédjé,Marseille,0.63,Ligue 1,2013,B. Djédjé
AS Monaco,Jakob Poulsen,FC Midtjylland,0.72,Ligue 1,2013,J. Poulsen
FC Nantes,Gabriel Cichero,FC Sion,0.45,Ligue 1,2013,G. Cichero
Olympique Lyon,Hugo Lloris,Spurs,11.34,Ligue 1,2012,H. Lloris
Olympique Lyon,Aly Cissokho,Valencia,5.4,Ligue 1,2012,A. Cissokho
Olympique Lyon,Ishak Belfodil,Parma,3.15,Ligue 1,2012,I. Belfodil
Olympique Lyon,Jérémy Pied,OGC Nice,2.7,Ligue 1,2012,J. Pied
Olympique Lyon,Kim Källström,Spartak Moscow,2.7,Ligue 1,2012,K. Källström
Olympique Lyon,Enzo Réale,FC Lorient,0.9,Ligue 1,2012,E. Réale
Stade Brest 29,Tomas Micola,Slavia Prague,0.45,Ligue 1,2012,T. Micola
AS Nancy-Lorraine,Samba Diakité,QPR,3.6,Ligue 1,2012,S. Diakité
FC Lorient,Arnold Mvuemba,Olympique Lyon,2.7,Ligue 1,2012,A. Mvuemba
ES Troyes AC,Djibril Sidibé,LOSC Lille,2.25,Ligue 1,2012,D. Sidibé
ES Troyes AC,Claudio Beauvue,LB Châteauroux,0.675,Ligue 1,2012,C. Beauvue
LOSC Lille,Eden Hazard,Chelsea,31.5,Ligue 1,2012,E. Hazard
FC Girondins Bordeaux,Michaël Ciani,Lazio,1.35,Ligue 1,2012,M. Ciani
FC Girondins Bordeaux,Salif Sané,AS Nancy,1.08,Ligue 1,2012,S. Sané
FC Girondins Bordeaux,Grzegorz Krychowiak,Stade Reims,0.72,Ligue 1,2012,G. Krychowiak
Montpellier HSC,Olivier Giroud,Arsenal,10.8,Ligue 1,2012,O. Giroud
FC Sochaux-Montbéliard,Marvin Martin,LOSC Lille,9.0,Ligue 1,2012,M. Martin
FC Sochaux-Montbéliard,Modibo Maïga,West Ham,5.4,Ligue 1,2012,M. Maïga
FC Sochaux-Montbéliard,Damien Perquis,Real Betis,0.675,Ligue 1,2012,D. Perquis
FC Sochaux-Montbéliard,Serdar Gürler,Elazigspor,0.099,Ligue 1,2012,S. Gürler
AS Saint-Étienne,Bakary Sako,Wolves,3.42,Ligue 1,2012,B. Sako
AS Saint-Étienne,Loris Néry,Valenciennes FC,0.72,Ligue 1,2012,L. Néry
SC Bastia,Sadio Diallo,Stade Rennais,3.6,Ligue 1,2012,S. Diallo
Paris Saint-Germain,Milan Bisevac,Olympique Lyon,2.48,Ligue 1,2012,M. Bisevac
OGC Nice,Anthony Mounier,Montpellier,3.15,Ligue 1,2012,A. Mounier
OGC Nice,Fabián Monzón,Olympique Lyon,2.7,Ligue 1,2012,F. Monzón
OGC Nice,Kafoumba Coulibaly,Kasimpasa,1.35,Ligue 1,2012,K. Coulibaly
OGC Nice,Isma,Rio Ave FC,0.36,Ligue 1,2012,Isma
OGC Nice,Franck Dja Djédjé,Chornomorets,0.27,Ligue 1,2012,F. Djédjé
FC Toulouse,Daniel Congré,Montpellier,4.5,Ligue 1,2012,D. Congré
FC Toulouse,Paulo Machado,Olympiacos,2.43,Ligue 1,2012,P. Machado
FC Toulouse,Umut Bulut,Galatasaray,0.36,Ligue 1,2012,U. Bulut
Stade Rennais FC,Jirès Kembo Ekoko,Al-Ain FC,3.33,Ligue 1,2012,J. Ekoko
Stade Rennais FC,Razak Boukari,Wolves,3.15,Ligue 1,2012,R. Boukari
Stade Rennais FC,Kader Mangane,Hilal,2.7,Ligue 1,2012,K. Mangane
Stade Rennais FC,Alexander Tettey,Norwich,1.35,Ligue 1,2012,A. Tettey
Stade Rennais FC,Youssouf Hadji,Al-Arabi SC,0.9,Ligue 1,2012,Y. Hadji
Stade Rennais FC,Yacine Brahimi,Granada CF,0.27,Ligue 1,2012,Y. Brahimi
Olympique Marseille,César Azpilicueta,Chelsea,7.92,Ligue 1,2012,C. Azpilicueta
Olympique Marseille,Stéphane Mbia,QPR,5.4,Ligue 1,2012,S. Mbia
Olympique Marseille,Alou Diarra,West Ham,2.25,Ligue 1,2012,A. Diarra
Olympique Lyon,Michel Bastos,FC Schalke 04,0.9,Ligue 1,2012,M. Bastos
Stade Brest 29,Eden Ben Basat,Toulouse,0.9,Ligue 1,2012,E. Basat
Valenciennes FC,Gil,Corinthians,3.15,Ligue 1,2012,Gil
Valenciennes FC,Foued Kadir,Marseille,0.45,Ligue 1,2012,F. Kadir
AS Nancy-Lorraine,Massadio Haidara,Newcastle,2.25,Ligue 1,2012,M. Haidara
FC Lorient,Alaixys Romao,Marseille,1.8,Ligue 1,2012,A. Romao
AC Ajaccio,Carl Medjani,Monaco,0.9,Ligue 1,2012,C. Medjani
ES Troyes AC,Mounir Obbadi,Monaco,1.08,Ligue 1,2012,M. Obbadi
LOSC Lille,Mathieu Debuchy,Newcastle,5.58,Ligue 1,2012,M. Debuchy
FC Girondins Bordeaux,Yoan Gouffran,Newcastle,1.8,Ligue 1,2012,Y. Gouffran
Montpellier HSC,Mapou Yanga-Mbiwa,Newcastle,7.2,Ligue 1,2012,M. Yanga-Mbiwa
SC Bastia,Florian Thauvin,LOSC Lille,3.15,Ligue 1,2012,F. Thauvin
Paris Saint-Germain,Guillaume Hoarau,DL Aerbin,1.8,Ligue 1,2012,G. Hoarau
FC Toulouse,Emmanuel Rivière,Monaco,3.6,Ligue 1,2012,E. Rivière
FC Toulouse,Moussa Sissoko,Newcastle,1.8,Ligue 1,2012,M. Sissoko
Stade Rennais FC,Yann M'Vila,Rubin Kazan,10.8,Ligue 1,2012,Y. M'Vila
Stade Rennais FC,Tongo Doumbia,Wolves,2.25,Ligue 1,2012,T. Doumbia
Olympique Marseille,Loïc Rémy,QPR,9.45,Ligue 1,2012,L. Rémy
Olympique Marseille,Charles Kaboré,Kuban Krasnodar,1.8,Ligue 1,2012,C. Kaboré
FC Girondins Bordeaux,Fernando,Shabab,5.4,Ligue 1,2011,Fernando
FC Girondins Bordeaux,Alou Diarra,Marseille,4.5,Ligue 1,2011,A. Diarra
FC Girondins Bordeaux,Wendel,Ittihad,1.35,Ligue 1,2011,Wendel
LOSC Lille,Gervinho,Arsenal,10.8,Ligue 1,2011,Gervinho
LOSC Lille,Adil Rami,Valencia,5.4,Ligue 1,2011,A. Rami
LOSC Lille,Yohan Cabaye,Newcastle,4.5,Ligue 1,2011,Y. Cabaye
LOSC Lille,Émerson Conceição,Benfica,1.8,Ligue 1,2011,É. Conceição
LOSC Lille,Nicolas Fauvergue,CS Sedan,0.81,Ligue 1,2011,N. Fauvergue
FC Lorient,Kévin Gameiro,Paris SG,9.9,Ligue 1,2011,K. Gameiro
FC Lorient,Jérémy Morel,Marseille,2.25,Ligue 1,2011,J. Morel
FC Lorient,Lynel Kitambala,Saint-Étienne,2.25,Ligue 1,2011,L. Kitambala
AS Nancy-Lorraine,Julien Féret,Stade Rennais,3.6,Ligue 1,2011,J. Féret
AS Nancy-Lorraine,Alfred N'Diaye,Bursaspor,2.52,Ligue 1,2011,A. N'Diaye
AS Nancy-Lorraine,Youssouf Hadji,Stade Rennais,1.53,Ligue 1,2011,Y. Hadji
AS Nancy-Lorraine,Mickaël Chrétien Basser,Bursaspor,0.36,Ligue 1,2011,M. Basser
SM Caen,Youssef El Arabi,Hilal,6.75,Ligue 1,2011,Y. Arabi
SM Caen,Sambou Yatabaré,Monaco,0.9,Ligue 1,2011,S. Yatabaré
SM Caen,Julien Toudic,Lens,0.45,Ligue 1,2011,J. Toudic
Valenciennes FC,Milan Bisevac,Paris SG,2.88,Ligue 1,2011,M. Bisevac
Olympique Lyon,Jérémy Toulalan,Málaga CF,9.9,Ligue 1,2011,J. Toulalan
Olympique Lyon,Miralem Pjanic,AS Roma,9.9,Ligue 1,2011,M. Pjanic
Montpellier HSC,Emir Spahic,Sevilla FC,1.8,Ligue 1,2011,E. Spahic
Stade Rennais FC,Abdoul Camara,FC Sochaux,1.35,Ligue 1,2011,A. Camara
Stade Rennais FC,Fabien Lemoine,Saint-Étienne,1.35,Ligue 1,2011,F. Lemoine
Stade Rennais FC,Samuel Souprayen,Dijon,1.35,Ligue 1,2011,S. Souprayen
AJ Auxerre,Jean-Pascal Mignot,Saint-Étienne,1.8,Ligue 1,2011,J. Mignot
AJ Auxerre,Benoît Pedretti,LOSC Lille,1.35,Ligue 1,2011,B. Pedretti
FC Toulouse,Luan,Palmeiras,2.84,Ligue 1,2011,Luan
FC Toulouse,Xavier Pentecôte,OGC Nice,1.08,Ligue 1,2011,X. Pentecôte
FC Toulouse,Mauro Cetto,US Palermo,0.405,Ligue 1,2011,M. Cetto
OGC Nice,Mickael Pote,Dynamo Dresden,0.09,Ligue 1,2011,M. Pote
Paris Saint-Germain,Jérémy Clément,Saint-Étienne,1.62,Ligue 1,2011,J. Clément
Paris Saint-Germain,Younousse Sankharé,Dijon,0.45,Ligue 1,2011,Y. Sankharé
Paris Saint-Germain,Tripy Makonda,Stade Brest 29,0.45,Ligue 1,2011,T. Makonda
AS Saint-Étienne,Dimitri Payet,LOSC Lille,8.1,Ligue 1,2011,D. Payet
AS Saint-Étienne,Blaise Matuidi,Paris SG,7.2,Ligue 1,2011,B. Matuidi
AS Saint-Étienne,Emmanuel Rivière,Toulouse,5.4,Ligue 1,2011,E. Rivière
AS Saint-Étienne,Kevin Mirallas,Olympiacos,2.25,Ligue 1,2011,K. Mirallas
AS Saint-Étienne,Gonzalo Bergessio,Catania,1.71,Ligue 1,2011,G. Bergessio
AS Saint-Étienne,Gelson Fernandes,Leicester,0.45,Ligue 1,2011,G. Fernandes
AS Saint-Étienne,Carlos Bocanegra,Rangers,0.414,Ligue 1,2011,C. Bocanegra
FC Sochaux-Montbéliard,Brown Ideye,Dynamo Kyiv,8.1,Ligue 1,2011,B. Ideye
LOSC Lille,Moussa Sow,Fenerbahce,9.0,Ligue 1,2011,M. Sow
LOSC Lille,Ludovic Obraniak,G. Bordeaux,0.9,Ligue 1,2011,L. Obraniak
AS Nancy-Lorraine,Samba Diakité,QPR,0.36,Ligue 1,2011,S. Diakité
AS Nancy-Lorraine,Jonathan Brison,Saint-Étienne,0.27,Ligue 1,2011,J. Brison
Valenciennes FC,Tae-hee Nam,Lekhwiya,0.9,Ligue 1,2011,T. Nam
Stade Brest 29,Nolan Roux,LOSC Lille,7.2,Ligue 1,2011,N. Roux
Stade Rennais FC,Georges Mandjeck,AJ Auxerre,0.9,Ligue 1,2011,G. Mandjeck
OGC Nice,Larrys Mabiala,Karabükspor,0.45,Ligue 1,2011,L. Mabiala
Paris Saint-Germain,Mevlüt Erdinc,Stade Rennais,5.94,Ligue 1,2011,M. Erdinc
AS Saint-Étienne,Gelson Fernandes,Udinese Calcio,0.45,Ligue 1,2011,G. Fernandes
FC Sochaux-Montbéliard,Kévin Anin,OGC Nice,2.25,Ligue 1,2011,K. Anin
RB Leipzig,Dayot Upamecano,FC Bayern,38.25,1 Bundesliga,2021,D. Upamecano
RB Leipzig,Ibrahima Konaté,Liverpool,36.0,1 Bundesliga,2021,I. Konaté
RB Leipzig,Marcel Sabitzer,FC Bayern,13.5,1 Bundesliga,2021,M. Sabitzer
RB Leipzig,Hannes Wolf,Bor. M'gladbach,8.55,1 Bundesliga,2021,H. Wolf
RB Leipzig,Lazar Samardzic,Udinese Calcio,2.7,1 Bundesliga,2021,L. Samardzic
RB Leipzig,Alexander Sörloth,Real Sociedad,1.8,1 Bundesliga,2021,A. Sörloth
Borussia Dortmund,Jadon Sancho,Man Utd,76.5,1 Bundesliga,2021,J. Sancho
Borussia Dortmund,Leonardo Balerdi,Marseille,9.9,1 Bundesliga,2021,L. Balerdi
Borussia Dortmund,Thomas Delaney,Sevilla FC,5.4,1 Bundesliga,2021,T. Delaney
Borussia Dortmund,Jeremy Toljan,Sassuolo,3.15,1 Bundesliga,2021,J. Toljan
Borussia Dortmund,Sergio Gómez,RSC Anderlecht,2.03,1 Bundesliga,2021,S. Gómez
VfL Wolfsburg,Felix Klaus,F. Düsseldorf,0.99,1 Bundesliga,2021,F. Klaus
VfL Wolfsburg,Josip Brekalo,Torino,0.9,1 Bundesliga,2021,J. Brekalo
Eintracht Frankfurt,André Silva,RB Leipzig,20.7,1 Bundesliga,2021,A. Silva
Eintracht Frankfurt,Dejan Joveljic,LA Galaxy,3.15,1 Bundesliga,2021,D. Joveljic
Eintracht Frankfurt,Frederik Rönnow,Union Berlin,0.9,1 Bundesliga,2021,F. Rönnow
Bayer 04 Leverkusen,Leon Bailey,Aston Villa,28.8,1 Bundesliga,2021,L. Bailey
Bayer 04 Leverkusen,Tin Jedvaj,Loko Moscow,3.6,1 Bundesliga,2021,T. Jedvaj
Bayer 04 Leverkusen,Wendell,FC Porto,3.6,1 Bundesliga,2021,Wendell
Bayer 04 Leverkusen,Demarai Gray,Everton,1.8,1 Bundesliga,2021,D. Gray
1.FC Union Berlin,Robert Andrich,Bay. Leverkusen,5.85,1 Bundesliga,2021,R. Andrich
1.FC Union Berlin,Marius Bülter,FC Schalke 04,0.72,1 Bundesliga,2021,M. Bülter
1.FC Union Berlin,Marcus Ingvartsen,1.FSV Mainz 05,0.54,1 Bundesliga,2021,M. Ingvartsen
1.FC Union Berlin,Julius Kade,Dynamo Dresden,0.45,1 Bundesliga,2021,J. Kade
1.FC Union Berlin,Sebastian Griesbeck,Greuther Fürth,0.225,1 Bundesliga,2021,S. Griesbeck
1.FC Union Berlin,Nicolai Rapp,Werder Bremen,0.18,1 Bundesliga,2021,N. Rapp
VfB Stuttgart,Nicolás González,Fiorentina,21.15,1 Bundesliga,2021,N. González
VfB Stuttgart,Gregor Kobel,Bor. Dortmund,13.5,1 Bundesliga,2021,G. Kobel
VfB Stuttgart,Pablo Maffeo,RCD Mallorca,0.45,1 Bundesliga,2021,P. Maffeo
VfB Stuttgart,Jens Grahl,E. Frankfurt,0.225,1 Bundesliga,2021,J. Grahl
SC Freiburg,Baptiste Santamaria,Stade Rennais,12.6,1 Bundesliga,2021,B. Santamaria
SC Freiburg,Brandon Borrello,Dynamo Dresden,0.225,1 Bundesliga,2021,B. Borrello
TSG 1899 Hoffenheim,Ishak Belfodil,Hertha BSC,0.45,1 Bundesliga,2021,I. Belfodil
1.FSV Mainz 05,Florian Müller,VfB Stuttgart,4.5,1 Bundesliga,2021,F. Müller
1.FSV Mainz 05,Pierre Kunde,Olympiacos,1.62,1 Bundesliga,2021,P. Kunde
1.FSV Mainz 05,Luca Kilian,1. FC Köln,0.225,1 Bundesliga,2021,L. Kilian
FC Augsburg,Marco Richter,Hertha BSC,6.39,1 Bundesliga,2021,M. Richter
FC Augsburg,Kevin Danso,Lens,4.95,1 Bundesliga,2021,K. Danso
Hertha BSC,Matheus Cunha,Atlético Madrid,27.0,1 Bundesliga,2021,M. Cunha
Hertha BSC,Jhon Córdoba,Krasnodar,18.0,1 Bundesliga,2021,J. Córdoba
Hertha BSC,Luca Netz,Bor. M'gladbach,3.6,1 Bundesliga,2021,L. Netz
Hertha BSC,Arne Maier,FC Augsburg,0.45,1 Bundesliga,2021,A. Maier
Arminia Bielefeld,Marcel Hartel,FC St. Pauli,0.315,1 Bundesliga,2021,M. Hartel
1. FC Köln,Sebastiaan Bornauw,VfL Wolfsburg,12.15,1 Bundesliga,2021,S. Bornauw
1. FC Köln,Ismail Jakobs,Monaco,5.85,1 Bundesliga,2021,I. Jakobs
1. FC Köln,Birger Verstraete,Royal Antwerp,1.8,1 Bundesliga,2021,B. Verstraete
VfL Bochum,Robert Zulj,Ittihad Kalba,0.315,1 Bundesliga,2021,R. Zulj
SpVgg Greuther Fürth,Anton Stach,1.FSV Mainz 05,3.15,1 Bundesliga,2021,A. Stach
Bayern Munich,Thiago,Liverpool,19.8,1 Bundesliga,2020,Thiago
Borussia Dortmund,Ömer Toprak,Werder Bremen,3.6,1 Bundesliga,2020,Ö. Toprak
Borussia Dortmund,Leonardo Balerdi,Marseille,0.9,1 Bundesliga,2020,L. Balerdi
Borussia Dortmund,Dzenis Burnic,1.FC Heidenheim,0.45,1 Bundesliga,2020,D. Burnic
RB Leipzig,Timo Werner,Chelsea,47.7,1 Bundesliga,2020,T. Werner
RB Leipzig,Ademola Lookman,Fulham,1.8,1 Bundesliga,2020,A. Lookman
RB Leipzig,Hannes Wolf,Bor. M'gladbach,1.35,1 Bundesliga,2020,H. Wolf
Bayer 04 Leverkusen,Kai Havertz,Chelsea,72.0,1 Bundesliga,2020,K. Havertz
Bayer 04 Leverkusen,Kevin Volland,Monaco,13.95,1 Bundesliga,2020,K. Volland
TSG 1899 Hoffenheim,Leonardo Bittencourt,Werder Bremen,6.3,1 Bundesliga,2020,L. Bittencourt
TSG 1899 Hoffenheim,Gregor Kobel,VfB Stuttgart,3.6,1 Bundesliga,2020,G. Kobel
TSG 1899 Hoffenheim,Steven Zuber,E. Frankfurt,2.7,1 Bundesliga,2020,S. Zuber
VfL Wolfsburg,Felix Uduokhai,FC Augsburg,6.3,1 Bundesliga,2020,F. Uduokhai
VfL Wolfsburg,Marcel Tisserand,Fenerbahce,3.6,1 Bundesliga,2020,M. Tisserand
SC Freiburg,Luca Waldschmidt,Benfica,13.5,1 Bundesliga,2020,L. Waldschmidt
SC Freiburg,Robin Koch,Leeds,11.7,1 Bundesliga,2020,R. Koch
SC Freiburg,Alexander Schwolow,Hertha BSC,6.3,1 Bundesliga,2020,A. Schwolow
SC Freiburg,Pascal Stenzel,VfB Stuttgart,1.17,1 Bundesliga,2020,P. Stenzel
SC Freiburg,Mohamed Dräger,Olympiacos,0.9,1 Bundesliga,2020,M. Dräger
SC Freiburg,Jérôme Gondorf,Karlsruher SC,0.45,1 Bundesliga,2020,J. Gondorf
Eintracht Frankfurt,Ante Rebic,AC Milan,4.5,1 Bundesliga,2020,A. Rebic
Eintracht Frankfurt,Mijat Gacinovic,TSG Hoffenheim,2.7,1 Bundesliga,2020,M. Gacinovic
Eintracht Frankfurt,Lucas Torró,CA Osasuna,1.8,1 Bundesliga,2020,L. Torró
Eintracht Frankfurt,Gonçalo Paciência,FC Schalke 04,1.8,1 Bundesliga,2020,G. Paciência
Hertha BSC,Ondrej Duda,1. FC Köln,6.3,1 Bundesliga,2020,O. Duda
Hertha BSC,Karim Rekik,Sevilla FC,1.8,1 Bundesliga,2020,K. Rekik
Hertha BSC,Pascal Köpke,1.FC Nuremberg,0.72,1 Bundesliga,2020,P. Köpke
Hertha BSC,Arne Maier,Arm. Bielefeld,0.45,1 Bundesliga,2020,A. Maier
Hertha BSC,Dennis Smarsch,FC St. Pauli,0.135,1 Bundesliga,2020,D. Smarsch
1.FC Union Berlin,Sebastian Andersson,1. FC Köln,5.85,1 Bundesliga,2020,S. Andersson
1.FC Union Berlin,Joshua Mees,Holstein Kiel,0.27,1 Bundesliga,2020,J. Mees
1.FC Union Berlin,Lars Dietz,Würzb. Kickers,0.063,1 Bundesliga,2020,L. Dietz
FC Schalke 04,Weston McKennie,Juventus,4.05,1 Bundesliga,2020,W. McKennie
FC Schalke 04,Pablo Insua,SD Huesca,0.225,1 Bundesliga,2020,P. Insua
1.FSV Mainz 05,Ridle Baku,VfL Wolfsburg,9.0,1 Bundesliga,2020,R. Baku
1.FSV Mainz 05,Florian Müller,SC Freiburg,0.18,1 Bundesliga,2020,F. Müller
1. FC Köln,Jhon Córdoba,Hertha BSC,13.5,1 Bundesliga,2020,J. Córdoba
FC Augsburg,Philipp Max,PSV Eindhoven,7.2,1 Bundesliga,2020,P. Max
FC Augsburg,Kevin Danso,F. Düsseldorf,0.45,1 Bundesliga,2020,K. Danso
FC Augsburg,Tim Rieder,1.FC K'lautern,0.045,1 Bundesliga,2020,T. Rieder
FC Augsburg,Maurice Malone,Wehen Wiesbaden,0.045,1 Bundesliga,2020,M. Malone
SV Werder Bremen,Davy Klaassen,Ajax,9.9,1 Bundesliga,2020,D. Klaassen
VfB Stuttgart,Anastasios Donis,Stade Reims,3.6,1 Bundesliga,2020,A. Donis
VfB Stuttgart,Chadrac Akolo,Amiens SC,3.15,1 Bundesliga,2020,C. Akolo
TSG 1899 Hoffenheim,João Klauss,Standard Liège,0.495,1 Bundesliga,2020,J. Klauss
VfL Wolfsburg,Omar Marmoush,FC St. Pauli,0.09,1 Bundesliga,2020,O. Marmoush
Eintracht Frankfurt,Bas Dost,Club Brugge,3.6,1 Bundesliga,2020,B. Dost
FC Schalke 04,Ozan Kabak,Liverpool,0.99,1 Bundesliga,2020,O. Kabak
1.FSV Mainz 05,Jean-Philippe Mateta,Crystal Palace,3.15,1 Bundesliga,2020,J. Mateta
Arminia Bielefeld,Brian Behrendt,E. Braunschweig,0.09,1 Bundesliga,2020,B. Behrendt
Bayern Munich,Mats Hummels,Bor. Dortmund,27.45,1 Bundesliga,2019,M. Hummels
Bayern Munich,Renato Sanches,LOSC Lille,18.0,1 Bundesliga,2019,R. Sanches
Bayern Munich,Marco Friedl,Werder Bremen,3.15,1 Bundesliga,2019,M. Friedl
Borussia Dortmund,Abdou Diallo,Paris SG,28.8,1 Bundesliga,2019,A. Diallo
Borussia Dortmund,Maximilian Philipp,Dynamo Moscow,18.0,1 Bundesliga,2019,M. Philipp
Borussia Dortmund,Alexander Isak,Real Sociedad,5.85,1 Bundesliga,2019,A. Isak
Borussia Dortmund,Sebastian Rode,E. Frankfurt,3.6,1 Bundesliga,2019,S. Rode
Borussia Dortmund,Shinji Kagawa,Real Zaragoza,2.7,1 Bundesliga,2019,S. Kagawa
Borussia Dortmund,Jeremy Toljan,Sassuolo,2.03,1 Bundesliga,2019,J. Toljan
Borussia Dortmund,Marius Wolf,Hertha BSC,1.8,1 Bundesliga,2019,M. Wolf
Borussia Dortmund,Ömer Toprak,Werder Bremen,0.9,1 Bundesliga,2019,Ö. Toprak
Borussia Dortmund,André Schürrle,Spartak Moscow,0.9,1 Bundesliga,2019,A. Schürrle
RB Leipzig,Bruma,PSV Eindhoven,13.5,1 Bundesliga,2019,Bruma
RB Leipzig,Jean-Kévin Augustin,Monaco,3.6,1 Bundesliga,2019,J. Augustin
Bayer 04 Leverkusen,Julian Brandt,Bor. Dortmund,22.5,1 Bundesliga,2019,J. Brandt
Bayer 04 Leverkusen,Dominik Kohr,E. Frankfurt,7.65,1 Bundesliga,2019,D. Kohr
Borussia Mönchengladbach,Thorgan Hazard,Bor. Dortmund,22.95,1 Bundesliga,2019,T. Hazard
Borussia Mönchengladbach,Michaël Cuisance,Bayern Munich,10.8,1 Bundesliga,2019,M. Cuisance
Borussia Mönchengladbach,Michael Lang,Werder Bremen,0.54,1 Bundesliga,2019,M. Lang
VfL Wolfsburg,Landry Dimata,RSC Anderlecht,4.5,1 Bundesliga,2019,L. Dimata
VfL Wolfsburg,Victor Osimhen,RSC Charleroi,3.15,1 Bundesliga,2019,V. Osimhen
VfL Wolfsburg,Luca Itter,SC Freiburg,2.25,1 Bundesliga,2019,L. Itter
VfL Wolfsburg,Riechedly Bazoer,Vitesse,1.35,1 Bundesliga,2019,R. Bazoer
VfL Wolfsburg,Felix Uduokhai,FC Augsburg,1.35,1 Bundesliga,2019,F. Uduokhai
VfL Wolfsburg,Paul Seguin,Greuther Fürth,0.27,1 Bundesliga,2019,P. Seguin
Eintracht Frankfurt,Luka Jovic,Real Madrid,54.0,1 Bundesliga,2019,L. Jovic
Eintracht Frankfurt,Sébastien Haller,West Ham,45.0,1 Bundesliga,2019,S. Haller
Eintracht Frankfurt,Jetro Willems,Newcastle,0.9,1 Bundesliga,2019,J. Willems
Eintracht Frankfurt,Andersson Ordóñez,LDU Quito,0.405,1 Bundesliga,2019,A. Ordóñez
Eintracht Frankfurt,Danny Blum,VfL Bochum,0.225,1 Bundesliga,2019,D. Blum
Eintracht Frankfurt,Max Besuschkow,Jahn Regensburg,0.09,1 Bundesliga,2019,M. Besuschkow
TSG 1899 Hoffenheim,Joelinton,Newcastle,39.6,1 Bundesliga,2019,Joelinton
TSG 1899 Hoffenheim,Kerem Demirbay,Bay. Leverkusen,28.8,1 Bundesliga,2019,K. Demirbay
TSG 1899 Hoffenheim,Nico Schulz,Bor. Dortmund,22.95,1 Bundesliga,2019,N. Schulz
TSG 1899 Hoffenheim,Nadiem Amiri,Bay. Leverkusen,8.1,1 Bundesliga,2019,N. Amiri
TSG 1899 Hoffenheim,Vincenzo Grifo,SC Freiburg,6.3,1 Bundesliga,2019,V. Grifo
TSG 1899 Hoffenheim,Antonio Colak,HNK Rijeka,0.765,1 Bundesliga,2019,A. Colak
TSG 1899 Hoffenheim,Leonardo Bittencourt,Werder Bremen,0.54,1 Bundesliga,2019,L. Bittencourt
TSG 1899 Hoffenheim,Gregor Kobel,VfB Stuttgart,0.45,1 Bundesliga,2019,G. Kobel
TSG 1899 Hoffenheim,Robin Hack,1.FC Nuremberg,0.45,1 Bundesliga,2019,R. Hack
Fortuna Düsseldorf,Benito Raman,FC Schalke 04,5.85,1 Bundesliga,2019,B. Raman
Fortuna Düsseldorf,Marvin Ducksch,Hannover 96,1.35,1 Bundesliga,2019,M. Ducksch
Hertha BSC,Valentino Lazaro,Inter,20.16,1 Bundesliga,2019,V. Lazaro
Hertha BSC,Marius Gersbeck,Karlsruher SC,0.041,1 Bundesliga,2019,M. Gersbeck
1.FSV Mainz 05,Jean-Philippe Gbamin,Everton,22.5,1 Bundesliga,2019,J. Gbamin
1.FSV Mainz 05,Anthony Ujah,Union Berlin,1.8,1 Bundesliga,2019,A. Ujah
SC Freiburg,Tim Kleindienst,1.FC Heidenheim,2.7,1 Bundesliga,2019,T. Kleindienst
SC Freiburg,Florian Niederlechner,FC Augsburg,2.25,1 Bundesliga,2019,F. Niederlechner
SC Freiburg,Vincent Sierro,BSC Young Boys,1.35,1 Bundesliga,2019,V. Sierro
